,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing,updated_github_id,trending
10,gplearn,trevorstephens/gplearn,https://github.com/trevorstephens/gplearn,https://github.com/trevorstephens/gplearn,BSD-3-Clause,2015-03-26 01:01:14,2026-01-10 21:16:42,2026-01-10 21:16:42,170,,314.0,53.0,95.0,16.0,202.0,1855,2026-01-07 06:59:11,0.4.3,,,2.0,"Genetic Programming in Python, with a scikit-learn inspired API.",739.0,739.0,13.0,23,True,others,1.0,,
11,mealpy,thieu1995/mealpy,https://github.com/thieu1995/mealpy,https://github.com/thieu1995/mealpy,MIT,2020-03-16 10:16:54,2026-02-28 16:49:25,2026-02-28 16:49:16,1928,,256.0,16.0,66.0,39.0,170.0,1219,2025-08-16 23:49:54,3.0.3,,,58.0,A Collection Of The State-of-the-art Metaheuristic Algorithms In Python (Metaheuristic/Optimizer/Nature-..,200.0,200.0,26.0,23,True,others,1.0,,
12,scikit-opt,guofei9987/scikit-opt,https://github.com/guofei9987/scikit-opt,https://github.com/guofei9987/scikit-opt,MIT,2017-12-05 10:20:41,2026-03-25 09:12:13,2026-03-25 09:12:06,345,1.0,1099.0,52.0,36.0,69.0,113.0,6573,2021-06-28 12:45:52,0.6.5,,,20.0,"Genetic Algorithm, Particle Swarm Optimization, Simulated Annealing, Ant Colony Optimization Algorithm,Immune..",284.0,284.0,24.0,22,True,others,1.0,,
13,hivemind,learning-at-home/hivemind,https://github.com/learning-at-home/hivemind,https://github.com/learning-at-home/hivemind,MIT,2020-02-27 13:50:19,2026-01-11 21:13:45,2026-01-04 23:36:23,599,,217.0,58.0,498.0,69.0,106.0,2465,2026-01-03 07:41:24,1.1.12,,,27.0,Decentralized deep learning in PyTorch. Built to train models on thousands of volunteers across the world.,135.0,135.0,34.0,22,True,others,1.0,,
14,GeneticAlgorithmPython,ahmedfgad/GeneticAlgorithmPython,https://github.com/ahmedfgad/GeneticAlgorithmPython,https://github.com/ahmedfgad/GeneticAlgorithmPython,BSD-3-Clause,2018-12-11 11:19:33,2026-06-04 03:56:38,2026-06-04 03:55:16,671,101.0,494.0,26.0,125.0,102.0,75.0,2202,2026-04-08 19:44:13,3.6.0,1375.0,18.0,40.0,"Source code of PyGAD, a Python 3 library for building the genetic algorithm and training machine learning algorithms..",,,27.0,22,True,others,1.0,,3.0
15,pyswarms,ljvmiranda921/pyswarms,https://github.com/ljvmiranda921/pyswarms,https://github.com/ljvmiranda921/pyswarms,MIT,2017-07-12 12:04:45,2024-08-06 17:18:34,2023-06-06 09:46:40,415,,338.0,39.0,304.0,33.0,200.0,1391,2020-11-14 05:18:38,.1.2.0,,,15.0,A research toolkit for particle swarm optimization in Python.,610.0,610.0,45.0,22,False,others,1.0,,
16,Gradient-Free-Optimizers,SimonBlanke/Gradient-Free-Optimizers,https://github.com/SimonBlanke/Gradient-Free-Optimizers,https://github.com/SimonBlanke/Gradient-Free-Optimizers,MIT,2020-04-04 06:35:55,2026-05-16 12:01:30,2026-05-16 10:14:15,1408,172.0,92.0,19.0,29.0,17.0,44.0,1274,2026-05-15 19:01:31,1.13.0,126.0,2.0,17.0,"Lightweight optimization with local, global, population-based and sequential techniques across mixed search spaces.",47.0,47.0,10.0,22,True,others,1.0,,4.0
17,nengo,nengo/nengo,https://github.com/nengo/nengo,https://github.com/nengo/nengo,,2013-04-20 18:46:06,2026-05-23 22:09:18,2026-05-23 22:09:16,1779,3.0,191.0,74.0,933.0,122.0,651.0,929,2023-11-17 15:28:21,4.0.0,,,21.0,A Python library for creating and simulating large-scale brain models.,270.0,270.0,44.0,22,False,others,1.0,,
18,ck,mlcommons/ck,https://github.com/mlcommons/ck,https://github.com/mlcommons/ck,Apache-2.0,2014-11-05 17:14:43,2026-05-19 19:30:02,2026-05-07 14:46:27,8688,3.0,119.0,45.0,912.0,11.0,496.0,647,2025-03-13 15:31:04,cmx-v4.1.4,,,100.0,"Collective Knowledge (CK), Collective Mind (CM/CMX) and MLPerf automations: community-driven projects to facilitate..",121.0,121.0,35.0,22,True,others,1.0,,
19,mindspore,mindspore-ai/mindspore,https://github.com/mindspore-ai/mindspore,https://github.com/mindspore-ai/mindspore,Apache-2.0,2020-02-11 08:43:48,2024-07-29 01:48:05,2024-07-28 23:35:15,83896,,727.0,148.0,46.0,201.0,115.0,4691,,,,,,"MindSpore is a new open source deep learning training/inference framework that could be used for mobile, edge and..",,,1629.0,21,False,others,1.0,,
20,evox,EMI-Group/evox,https://github.com/EMI-Group/evox,https://github.com/EMI-Group/evox,GPL-3.0,2022-07-27 03:11:41,2026-05-01 07:09:28,2026-05-01 07:09:23,2244,5.0,337.0,148.0,210.0,2.0,31.0,2462,2025-11-06 13:16:41,1.3.0,,,27.0,Distributed GPU-Accelerated Framework for Evolutionary Computation. Comprehensive Library of Evolutionary Algorithms &..,14.0,14.0,28.0,21,True,others,1.0,,
21,NiaPy,NiaOrg/NiaPy,https://github.com/NiaOrg/NiaPy,https://github.com/NiaOrg/NiaPy,MIT,2018-02-06 11:25:36,2026-06-01 17:13:18,2026-02-24 20:31:32,1565,,85.0,9.0,652.0,2.0,102.0,279,2026-02-06 12:47:26,2.7.0,,,37.0,Python microframework for building nature-inspired algorithms. Official docs: https://niapy.org.,111.0,111.0,38.0,21,True,others,1.0,,
22,pycma,CMA-ES/pycma,https://github.com/CMA-ES/pycma,https://github.com/CMA-ES/pycma,,2016-09-22 13:55:01,2026-02-25 22:20:08,2026-02-25 22:13:16,1066,,197.0,15.0,33.0,90.0,227.0,1318,2026-02-25 22:18:16,r4.4.4,,,20.0,Python implementation of CMA-ES.,3111.0,3111.0,17.0,20,False,others,1.0,,-2.0
23,pagmo2,esa/pagmo2,https://github.com/esa/pagmo2,https://github.com/esa/pagmo2,GPL-3.0,2017-01-08 21:53:43,2026-05-23 12:26:04,2026-05-23 12:26:03,4685,37.0,176.0,33.0,345.0,40.0,211.0,926,2024-08-09 18:47:03,2.19.1,,,26.0,A C++ platform to perform parallel computations of optimisation tasks (global and local) via the asynchronous..,,,63.0,20,True,others,1.0,,
24,FEDOT,aimclub/FEDOT,https://github.com/aimclub/FEDOT,https://github.com/aimclub/FEDOT,BSD-3-Clause,2020-01-13 12:48:37,2026-06-04 14:06:50,2026-02-09 10:39:23,941,,92.0,9.0,828.0,73.0,507.0,704,2025-03-10 12:44:37,0.7.5,,,19.0,Automated modeling and machine learning framework FEDOT.,65.0,65.0,40.0,20,True,others,1.0,,
25,pyribs,icaros-usc/pyribs,https://github.com/icaros-usc/pyribs,https://github.com/icaros-usc/pyribs,MIT,2020-09-10 07:47:17,2026-05-17 20:31:49,2026-05-17 20:28:14,658,24.0,46.0,11.0,577.0,10.0,122.0,261,2026-05-17 20:34:38,0.11.0,,,21.0,A bare-bones Python library for quality diversity optimization.,78.0,78.0,20.0,20,True,others,1.0,,
26,geatpy,geatpy-dev/geatpy,https://github.com/geatpy-dev/geatpy,https://github.com/geatpy-dev/geatpy,LGPL-3.0,2018-08-23 13:26:31,2026-02-05 13:54:05,2026-02-05 13:54:05,418,,724.0,44.0,11.0,162.0,219.0,2121,2022-01-09 08:11:32,2.7.0,8490.0,160.0,2.0,Evolutionary algorithm toolbox and framework with high performance for Python.,,,9.0,19,True,others,2.0,,
27,Platypus,Project-Platypus/Platypus,https://github.com/Project-Platypus/Platypus,https://github.com/Project-Platypus/Platypus,GPL-3.0,2015-10-09 19:19:17,2026-05-18 16:30:45,2026-05-18 16:30:41,413,2.0,161.0,19.0,87.0,,177.0,652,2024-10-07 02:27:36,1.4.1,24.0,0.0,10.0,A Free and Open Source Python Library for Multiobjective Optimization.,254.0,254.0,22.0,19,True,others,2.0,,
28,jMetalPy,jMetal/jMetalPy,https://github.com/jMetal/jMetalPy,https://github.com/jMetal/jMetalPy,MIT,2017-01-18 10:25:58,2026-03-20 08:21:24,2026-03-20 08:21:22,1375,5.0,149.0,20.0,72.0,11.0,105.0,601,2025-10-29 14:45:53,1.9.0,109.0,1.0,10.0,A framework for single/multi-objective optimization with metaheuristics.,110.0,110.0,35.0,19,True,others,2.0,,-4.0
29,ann-benchmarks,erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43,2025-06-10 02:05:22,2025-06-10 02:05:22,1585,,855.0,116.0,378.0,93.0,156.0,5681,,,,,,Benchmarks of approximate nearest neighbor libraries in Python.,,,112.0,18,True,others,2.0,,
30,HEBO,huawei-noah/HEBO,https://github.com/huawei-noah/HEBO,https://github.com/huawei-noah/HEBO,,2021-09-10 06:02:05,2026-01-31 14:04:23,2025-11-27 10:31:46,297,,468.0,228.0,55.0,20.0,43.0,2771,,,,,1.0,Bayesian optimisation & Reinforcement Learning library developed by Huawei Noahs Ark Lab.,175.0,175.0,28.0,18,False,others,2.0,,
31,lion-pytorch,lucidrains/lion-pytorch,https://github.com/lucidrains/lion-pytorch,https://github.com/lucidrains/lion-pytorch,MIT,2023-02-15 04:24:19,2024-11-27 15:28:24,2024-11-27 15:28:16,49,,54.0,13.0,9.0,9.0,16.0,2187,2024-11-27 15:28:24,0.2.3,,,15.0,"Lion, new optimizer discovered by Google Brain using genetic algorithms that is purportedly better than Adam(w), in..",1202.0,1202.0,6.0,18,False,others,2.0,,
32,theseus,facebookresearch/theseus,https://github.com/facebookresearch/theseus,https://github.com/facebookresearch/theseus,MIT,2021-11-18 20:28:27,2025-01-16 17:47:06,2025-01-16 17:47:03,357,,144.0,34.0,427.0,78.0,121.0,2031,2024-09-11 17:13:49,0.2.2,,,10.0,A library for differentiable nonlinear optimization.,7.0,7.0,27.0,18,False,others,2.0,,
33,vizier,google/vizier,https://github.com/google/vizier,https://github.com/google/vizier,Apache-2.0,2022-02-16 20:48:16,2026-05-27 04:43:53,2026-05-27 04:43:47,1231,1.0,110.0,23.0,1252.0,,44.0,1649,2025-02-01 16:38:21,0.1.24,,,42.0,"Python-based research interface for blackbox and hyperparameter optimization, based on the internal Google Vizier..",,,27.0,18,True,others,2.0,,
34,minerl,minerllabs/minerl,https://github.com/minerllabs/minerl,https://github.com/minerllabs/minerl,,2019-04-23 16:55:21,2025-01-22 20:22:41,2025-01-22 20:22:40,797,,164.0,19.0,307.0,229.0,273.0,948,2023-08-23 21:30:19,1.0.2,,,7.0,MineRL Competition for Sample Efficient Reinforcement Learning - Python Package.,166.0,166.0,48.0,18,False,others,2.0,,
35,sklearn-deap,rsteca/sklearn-deap,https://github.com/rsteca/sklearn-deap,https://github.com/rsteca/sklearn-deap,MIT,2015-10-28 22:52:34,2024-02-10 07:16:54,2021-07-30 15:06:27,104,,124.0,27.0,29.0,20.0,34.0,774,2021-07-30 15:07:28,0.3.0,,,14.0,Use evolutionary algorithms instead of gridsearch in scikit-learn.,51.0,51.0,23.0,18,False,others,2.0,,
36,evosax,RobertTLange/evosax,https://github.com/RobertTLange/evosax,https://github.com/RobertTLange/evosax,Apache-2.0,2020-12-30 14:14:37,2026-04-02 10:22:47,2026-04-02 10:22:42,374,8.0,61.0,8.0,53.0,2.0,49.0,762,2025-03-11 10:33:55,.0.2.0,,,17.0,Evolution Strategies in JAX.,198.0,198.0,13.0,18,True,others,2.0,,
37,Sklearn-genetic-opt,rodrigo-arenas/Sklearn-genetic-opt,https://github.com/rodrigo-arenas/Sklearn-genetic-opt,https://github.com/rodrigo-arenas/Sklearn-genetic-opt,MIT,2020-01-18 19:16:48,2026-03-31 14:05:22,2026-03-31 14:05:22,548,3.0,92.0,8.0,113.0,4.0,66.0,361,2025-07-23 16:49:01,0.12.0,,,19.0,"ML hyperparameters tuning and features selection, using evolutionary algorithms.",74.0,74.0,22.0,18,True,others,2.0,,
38,ngc-learn,NACLab/ngc-learn,https://github.com/NACLab/ngc-learn,https://github.com/NACLab/ngc-learn,BSD-3-Clause,2022-04-19 21:20:05,2026-06-04 17:18:41,2026-06-01 15:31:49,1365,54.0,32.0,5.0,133.0,4.0,13.0,188,2025-12-06 20:27:32,3.0.0,,,9.0,NGC-Learn: Computational Neuroscience and NeuroAI in Python.,8.0,8.0,12.0,18,True,others,2.0,,
39,NIR,neuromorphs/NIR,https://github.com/neuromorphs/NIR,https://github.com/neuromorphs/NIR,BSD-3-Clause,2023-07-01 20:27:43,2026-06-01 05:07:30,2026-03-09 19:07:54,292,2.0,37.0,10.0,135.0,15.0,40.0,169,2025-11-04 10:23:36,1.0.7,,,15.0,Neuromorphic Intermediate Representation reference implementation.,111.0,111.0,22.0,18,True,others,2.0,,
40,humpday,microprediction/humpday,https://github.com/microprediction/humpday,https://github.com/microprediction/humpday,MIT,2020-10-23 18:58:25,2026-06-04 15:38:00,2026-06-04 13:30:52,719,418.0,21.0,4.0,200.0,8.0,41.0,147,2026-06-02 12:45:49,0.21.0,,,23.0,SOTA Black-box optimization (Python and JS) without the baggage.,,,5.0,18,True,others,2.0,,7.0
41,triangula,rh12503/triangula,https://github.com/rh12503/triangula,https://github.com/rh12503/triangula,MIT,2021-04-02 12:38:24,2026-03-21 00:05:04,2021-09-02 02:11:07,100,,120.0,39.0,3.0,8.0,13.0,3877,2021-05-21 12:57:14,1.2.0,6825.0,110.0,5.0,Generate high-quality triangulated and polygonal art from images.,11.0,11.0,3.0,17,False,others,2.0,,
42,evo,evo-design/evo,https://github.com/evo-design/evo,https://github.com/evo-design/evo,Apache-2.0,2024-02-17 19:11:33,2026-03-20 20:58:37,2026-03-20 20:58:37,56,1.0,177.0,27.0,39.0,39.0,40.0,1512,2026-02-16 17:50:14,0.5,,,7.0,Biological foundation modeling from molecular to genome scale.,11.0,11.0,10.0,17,True,others,2.0,,
43,eaopt,MaxHalford/eaopt,https://github.com/MaxHalford/eaopt,https://github.com/MaxHalford/eaopt,MIT,2016-01-31 00:04:52,2025-01-27 08:06:47,2025-01-27 08:06:47,351,,96.0,29.0,36.0,8.0,15.0,906,2017-11-28 19:51:38,0.4.1,,,9.0,"Evolutionary optimization library for Go (genetic algorithm, partical swarm optimization, differential evolution).",59.0,59.0,18.0,17,False,others,2.0,,
44,pygmo2,esa/pygmo2,https://github.com/esa/pygmo2,https://github.com/esa/pygmo2,MPL-2.0,2020-01-07 09:22:45,2026-04-17 09:41:08,2026-04-17 09:41:08,639,32.0,69.0,9.0,70.0,37.0,67.0,530,2026-04-11 09:30:24,2.19.8,,,15.0,A Python platform to perform parallel computations of optimisation tasks (global and local) via the asynchronous..,,,10.0,17,True,others,2.0,,3.0
45,cmaes,CyberAgentAILab/cmaes,https://github.com/CyberAgentAILab/cmaes,https://github.com/CyberAgentAILab/cmaes,MIT,2020-01-30 20:13:13,2026-04-08 06:12:36,2026-04-08 06:12:36,572,25.0,73.0,11.0,179.0,10.0,33.0,504,2026-03-28 07:48:38,0.13.0,422.0,5.0,21.0,Python library for CMA Evolution Strategy.,,,10.0,17,True,others,2.0,,
46,sotopia,sotopia-lab/sotopia,https://github.com/sotopia-lab/sotopia,https://github.com/sotopia-lab/sotopia,MIT,2023-10-23 19:47:26,2026-01-23 15:53:28,2026-01-07 04:30:36,352,,46.0,3.0,256.0,5.0,76.0,308,2025-12-07 20:21:27,0.1.5,,,17.0,Sotopia: an Open-ended Social Learning Environment (ICLR 2024 spotlight).,13.0,13.0,21.0,17,True,others,2.0,,-3.0
47,Lenia,Chakazul/Lenia,https://github.com/Chakazul/Lenia,https://github.com/Chakazul/Lenia,MIT,2018-02-25 05:51:46,2024-07-19 08:43:34,2022-03-15 17:08:40,174,,240.0,91.0,13.0,5.0,11.0,3778,2020-10-14 17:52:12,3.5,1980.0,29.0,2.0,Lenia - Mathematical Life Forms.,,,9.0,16,False,others,2.0,,
48,dreamerv3,danijar/dreamerv3,https://github.com/danijar/dreamerv3,https://github.com/danijar/dreamerv3,MIT,2023-01-14 12:08:18,2026-05-25 06:40:27,2026-05-25 06:40:27,31,1.0,541.0,35.0,37.0,37.0,139.0,3337,,,,,,Mastering Diverse Domains through World Models.,10.0,10.0,11.0,16,True,others,2.0,,
49,PlatEMO,BIMK/PlatEMO,https://github.com/BIMK/PlatEMO,https://github.com/BIMK/PlatEMO,,2018-10-12 14:25:39,2026-06-02 12:24:33,2026-06-02 12:23:42,382,6.0,520.0,48.0,61.0,90.0,39.0,2119,2026-05-22 08:04:11,4.15,1185.0,12.0,34.0,Evolutionary multi-objective optimization platform.,,,14.0,16,False,others,2.0,,
50,QDax,adaptive-intelligent-robotics/QDax,https://github.com/adaptive-intelligent-robotics/QDax,https://github.com/adaptive-intelligent-robotics/QDax,MIT,2022-02-11 15:48:57,2025-10-30 09:19:48,2025-10-30 09:19:48,279,,51.0,6.0,150.0,22.0,71.0,356,2025-05-27 15:18:35,0.5.0,,,9.0,Accelerated Quality-Diversity.,24.0,24.0,18.0,16,True,others,2.0,,
51,fast-cma-es,dietmarwo/fast-cma-es,https://github.com/dietmarwo/fast-cma-es,https://github.com/dietmarwo/fast-cma-es,MIT,2020-01-14 12:22:14,2026-04-12 08:17:18,2026-04-12 08:05:38,1138,29.0,22.0,2.0,9.0,6.0,15.0,162,,,,,,A Python 3 gradient-free optimization library.,85.0,85.0,6.0,16,True,others,2.0,,
52,evotorch,nnaisense/evotorch,https://github.com/nnaisense/evotorch,https://github.com/nnaisense/evotorch,Apache-2.0,2022-08-08 18:03:06,2026-06-03 18:36:23,2025-05-14 17:08:51,80,,77.0,13.0,80.0,13.0,34.0,1141,2025-05-14 17:10:24,0.6.1,,,10.0,"Advanced evolutionary computation library built directly on top of PyTorch, created at NNAISENSE.",,,6.0,15,False,others,2.0,,
53,OpenELM,CarperAI/OpenELM,https://github.com/CarperAI/OpenELM,https://github.com/CarperAI/OpenELM,MIT,2022-09-03 12:53:16,2023-11-15 11:36:05,2023-10-21 16:25:10,124,,90.0,22.0,64.0,6.0,5.0,740,2023-03-08 01:35:37,0.2.1,,,6.0,Evolution Through Large Models.,15.0,15.0,9.0,15,False,others,2.0,,
54,swarmlib,HaaLeo/swarmlib,https://github.com/HaaLeo/swarmlib,https://github.com/HaaLeo/swarmlib,BSD-3-Clause,2018-11-04 16:47:18,2020-12-16 20:47:50,2020-12-16 20:46:22,246,,108.0,9.0,20.0,12.0,13.0,577,2020-12-16 20:49:37,0.14.1,325.0,3.0,23.0,This repository implements several swarm optimization algorithms and visualizes them. Implemented algorithms: Particle..,24.0,24.0,7.0,15,False,others,2.0,,
55,crafter,danijar/crafter,https://github.com/danijar/crafter,https://github.com/danijar/crafter,MIT,2021-03-10 00:37:31,2024-01-23 23:33:05,2023-12-13 20:12:42,161,,88.0,8.0,8.0,9.0,17.0,551,,,,,,Benchmarking the Spectrum of Agent Capabilities.,266.0,266.0,4.0,15,False,others,2.0,,
56,EvoloPy,7ossam81/EvoloPy,https://github.com/7ossam81/EvoloPy,https://github.com/7ossam81/EvoloPy,Apache-2.0,2016-05-18 11:03:21,2026-04-18 15:33:47,2026-04-18 15:32:55,247,3.0,231.0,23.0,36.0,24.0,22.0,504,,,,,,EvoloPy toolbox provides classical and recent nature-inspired metaheuristic for the global optimization.,,,12.0,15,True,others,2.0,,
57,pypop,Evolutionary-Intelligence/pypop,https://github.com/Evolutionary-Intelligence/pypop,https://github.com/Evolutionary-Intelligence/pypop,GPL-3.0,2021-01-26 14:55:43,2026-05-23 15:43:46,2026-05-23 15:43:45,9332,58.0,41.0,5.0,460.0,4.0,9.0,287,,,,,,"[JMLR (CCF-A)] PyPop7: A Pure-PYthon LibrarY for POPulation-based Black-Box Optimization (BBO), especially *Large-..",,,16.0,15,True,others,2.0,,
58,evogym,EvolutionGym/evogym,https://github.com/EvolutionGym/evogym,https://github.com/EvolutionGym/evogym,MIT,2022-01-26 17:56:55,2025-06-08 16:55:20,2025-06-05 21:49:50,63,,42.0,8.0,21.0,5.0,29.0,254,2024-08-10 18:55:41,2.0.0,,,2.0,"A large-scale benchmark for co-optimizing the design and control of soft robots, as seen in NeurIPS 2021.",15.0,15.0,3.0,15,True,others,2.0,,
59,craftium,mikelma/craftium,https://github.com/mikelma/craftium,https://github.com/mikelma/craftium,,2024-06-04 14:48:25,2026-02-17 09:25:57,2026-02-17 09:25:19,12986,,18.0,5.0,9.0,10.0,12.0,198,2025-06-04 10:58:19,0.0.1,1376.0,114.0,1.0,"A framework for creating rich, 3D, Minecraft-like single and multi-agent environments for AI research. (Accepted at..",,,1133.0,15,False,others,2.0,,
60,LLaMEA,nikivanstein/LLaMEA,https://github.com/XAI-liacs/LLaMEA,https://github.com/XAI-liacs/LLaMEA,MIT,2024-06-03 13:04:53,2026-06-01 12:30:47,2026-06-01 12:30:39,424,11.0,25.0,2.0,108.0,6.0,19.0,107,2026-02-03 13:59:15,1.2.0,,,23.0,Large Language Model Evolutionary Algorithm.,4.0,4.0,9.0,15,True,others,2.0,XAI-liacs/LLaMEA,
61,optunahub,optuna/optunahub,https://github.com/optuna/optunahub,https://github.com/optuna/optunahub,MIT,2024-04-18 08:23:00,2026-05-28 05:18:52,2026-05-28 05:18:52,371,18.0,14.0,1.0,124.0,1.0,8.0,57,2025-11-10 05:35:15,0.4.0,,,7.0,Python library to use and implement packages in OptunaHub.,66.0,66.0,14.0,15,False,others,2.0,,
62,propulate,Helmholtz-AI-Energy/propulate,https://github.com/Helmholtz-AI-Energy/propulate,https://github.com/Helmholtz-AI-Energy/propulate,BSD-3-Clause,2022-05-24 08:19:12,2026-06-01 23:05:22,2026-05-20 09:12:47,1087,8.0,8.0,3.0,69.0,65.0,63.0,46,2024-06-08 06:31:25,1.2.2,,,4.0,Propulate is an asynchronous population-based optimization algorithm and software package for global optimization and..,4.0,4.0,26.0,15,False,others,2.0,,
63,opytimizer,gugarosa/opytimizer,https://github.com/gugarosa/opytimizer,https://github.com/gugarosa/opytimizer,Apache-2.0,2017-11-01 16:04:01,2026-05-02 02:53:58,2026-02-16 12:01:46,825,,43.0,11.0,25.0,,,633,2024-08-18 17:09:46,3.1.4,,,28.0,Opytimizer is a Python library consisting of meta-heuristic optimization algorithms.,,,4.0,14,True,others,2.0,,
64,Craftax,MichaelTMatthews/Craftax,https://github.com/MichaelTMatthews/Craftax,https://github.com/MichaelTMatthews/Craftax,MIT,2024-02-02 10:56:30,2026-02-10 18:04:12,2026-02-10 18:04:12,97,,49.0,6.0,29.0,3.0,20.0,411,2025-07-07 02:46:10,1.5.0,,,13.0,(Crafter + NetHack) in JAX. ICML 2024 Spotlight.,42.0,42.0,11.0,14,True,others,2.0,,
65,cellpylib,lantunes/cellpylib,https://github.com/lantunes/cellpylib,https://github.com/lantunes/cellpylib,Apache-2.0,2018-03-24 16:33:15,2023-02-21 12:34:45,2023-02-21 12:34:28,183,,37.0,7.0,10.0,7.0,19.0,248,,,,,,"A library for working with Cellular Automata, for Python.",75.0,75.0,3.0,14,False,others,2.0,,
