,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing,trending
12,agentscope,modelscope/agentscope,https://github.com/modelscope/agentscope,https://github.com/modelscope/agentscope,Apache-2.0,2024-01-12 03:41:59,2024-09-12 09:08:53,2024-09-12 09:06:16,247,65.0,293.0,30.0,309.0,23.0,107.0,4788,2024-09-09 02:47:03,0.1.0,1.0,0.0,5.0,Start building LLM-empowered multi-agent applications in an easier way.,6.0,6.0,28.0,22,True,others,1.0,
13,hivemind,learning-at-home/hivemind,https://github.com/learning-at-home/hivemind,https://github.com/learning-at-home/hivemind,MIT,2020-02-27 13:50:19,2024-07-16 07:33:35,2024-07-15 22:10:03,578,3.0,149.0,56.0,465.0,58.0,103.0,1996,2023-08-31 20:07:52,1.1.10,,,25.0,Decentralized deep learning in PyTorch. Built to train models on thousands of volunteers across the world.,110.0,110.0,32.0,22,True,others,1.0,
14,GeneticAlgorithmPython,ahmedfgad/GeneticAlgorithmPython,https://github.com/ahmedfgad/GeneticAlgorithmPython,https://github.com/ahmedfgad/GeneticAlgorithmPython,BSD-3-Clause,2018-12-11 11:19:33,2024-09-07 16:55:50,2024-08-22 22:15:10,467,1.0,452.0,28.0,90.0,88.0,71.0,1828,2024-02-17 21:05:43,3.3.1,903.0,17.0,37.0,"Source code of PyGAD, a Python 3 library for building the genetic algorithm and training machine learning algorithms..",632.0,632.0,23.0,22,True,others,1.0,-2.0
15,pycma,CMA-ES/pycma,https://github.com/CMA-ES/pycma,https://github.com/CMA-ES/pycma,,2016-09-22 13:55:01,2024-09-03 07:48:43,2024-09-03 01:53:02,888,43.0,177.0,16.0,27.0,44.0,193.0,1076,2024-09-03 07:48:43,r4.0.0,,,14.0,Python implementation of CMA-ES.,1991.0,1991.0,15.0,22,False,others,1.0,
16,FEDOT,aimclub/FEDOT,https://github.com/aimclub/FEDOT,https://github.com/aimclub/FEDOT,BSD-3-Clause,2020-01-13 12:48:37,2024-09-12 10:30:48,2024-09-08 23:31:27,895,19.0,86.0,10.0,762.0,98.0,448.0,631,2024-08-28 11:07:57,0.7.4,,,18.0,Automated modeling and machine learning framework FEDOT.,52.0,52.0,34.0,22,True,others,1.0,
17,Platypus,Project-Platypus/Platypus,https://github.com/Project-Platypus/Platypus,https://github.com/Project-Platypus/Platypus,GPL-3.0,2015-10-09 19:19:17,2024-09-12 16:05:54,2024-09-12 16:05:54,361,91.0,149.0,19.0,70.0,,177.0,565,2024-09-09 14:09:52,1.3.1,18.0,0.0,8.0,A Free and Open Source Python Library for Multiobjective Optimization.,208.0,208.0,19.0,22,True,others,1.0,9.0
18,jMetalPy,jMetal/jMetalPy,https://github.com/jMetal/jMetalPy,https://github.com/jMetal/jMetalPy,MIT,2017-01-18 10:25:58,2024-09-02 15:12:47,2024-09-02 15:12:43,1181,39.0,146.0,22.0,70.0,2.0,103.0,511,2024-05-29 15:49:17,1.7.0,95.0,1.0,8.0,A framework for single/multi-objective optimization with metaheuristics.,89.0,89.0,33.0,22,True,others,1.0,
19,gplearn,trevorstephens/gplearn,https://github.com/trevorstephens/gplearn,https://github.com/trevorstephens/gplearn,BSD-3-Clause,2015-03-26 01:01:14,2023-11-29 15:04:03,2023-08-12 06:34:27,161,,273.0,51.0,87.0,22.0,191.0,1586,2022-05-03 10:56:08,0.4.2,,,1.0,"Genetic Programming in Python, with a scikit-learn inspired API.",644.0,644.0,10.0,21,False,others,1.0,
20,Gradient-Free-Optimizers,SimonBlanke/Gradient-Free-Optimizers,https://github.com/SimonBlanke/Gradient-Free-Optimizers,https://github.com/SimonBlanke/Gradient-Free-Optimizers,MIT,2020-04-04 06:35:55,2024-08-22 15:14:52,2024-08-22 15:14:50,876,62.0,82.0,21.0,5.0,11.0,35.0,1197,2024-08-14 15:05:08,1.6.0,36.0,1.0,6.0,"Simple and reliable optimization with local, global, population-based and sequential techniques in numerical discrete..",35.0,35.0,7.0,21,True,others,1.0,
21,pagmo2,esa/pagmo2,https://github.com/esa/pagmo2,https://github.com/esa/pagmo2,GPL-3.0,2017-01-08 21:53:43,2024-08-20 07:58:19,2024-08-12 08:25:04,4626,13.0,158.0,34.0,317.0,40.0,194.0,818,2024-08-09 18:47:03,2.19.1,,,26.0,A C++ platform to perform parallel computations of optimisation tasks (global and local) via the asynchronous..,,,60.0,21,True,others,1.0,
22,nengo,nengo/nengo,https://github.com/nengo/nengo,https://github.com/nengo/nengo,,2013-04-20 18:46:06,2024-02-28 20:13:02,2023-11-17 15:42:30,1756,,171.0,75.0,925.0,120.0,648.0,817,2023-11-17 15:28:21,4.0.0,,,21.0,A Python library for creating and simulating large-scale brain models.,229.0,229.0,42.0,21,False,others,1.0,
23,NiaPy,NiaOrg/NiaPy,https://github.com/NiaOrg/NiaPy,https://github.com/NiaOrg/NiaPy,MIT,2018-02-06 11:25:36,2024-09-12 12:48:42,2024-08-20 10:29:24,1515,5.0,78.0,11.0,469.0,9.0,92.0,258,2024-05-17 08:30:57,2.3.1,,,32.0,Python microframework for building nature-inspired algorithms. Official docs: https://niapy.org.,88.0,88.0,32.0,21,True,others,1.0,
24,theseus,facebookresearch/theseus,https://github.com/facebookresearch/theseus,https://github.com/facebookresearch/theseus,MIT,2021-11-18 20:28:27,2024-09-11 17:13:49,2024-09-11 17:08:43,352,4.0,119.0,31.0,419.0,71.0,120.0,1716,2024-09-11 17:13:49,0.2.2,,,10.0,A library for differentiable nonlinear optimization.,4.0,4.0,26.0,20,True,others,2.0,
25,concordia,google-deepmind/concordia,https://github.com/google-deepmind/concordia,https://github.com/google-deepmind/concordia,Apache-2.0,2023-11-21 13:34:11,2024-09-12 16:13:55,2024-09-12 16:13:25,621,291.0,81.0,17.0,54.0,6.0,23.0,501,2024-09-03 19:27:19,1.7.0,,,9.0,A library for generative social simulation.,6.0,6.0,16.0,20,True,others,2.0,
26,evox,EMI-Group/evox,https://github.com/EMI-Group/evox,https://github.com/EMI-Group/evox,BSD-3-Clause,2022-07-27 03:11:41,2024-09-09 07:05:11,2024-08-06 13:18:20,1151,45.0,32.0,3.0,117.0,,27.0,181,2024-04-23 13:55:13,0.8.1,,,15.0,Distributed GPU-Accelerated Framework for Evolutionary Computation. Comprehensive Library of Evolutionary Algorithms &..,2.0,2.0,23.0,20,True,others,2.0,
27,HEBO,huawei-noah/HEBO,https://github.com/huawei-noah/HEBO,https://github.com/huawei-noah/HEBO,,2021-09-10 06:02:05,2024-09-07 23:16:05,2024-09-07 23:13:58,217,9.0,575.0,340.0,42.0,14.0,34.0,3208,,,,,1.0,Bayesian optimisation & Reinforcement Learning library developped by Huawei Noahs Ark Lab.,115.0,115.0,22.0,19,False,others,2.0,
28,mealpy,thieu1995/mealpy,https://github.com/thieu1995/mealpy,https://github.com/thieu1995/mealpy,GPL-3.0,2020-03-16 10:16:54,2024-09-03 21:46:52,2024-06-12 15:50:21,1759,,173.0,13.0,24.0,5.0,137.0,864,2023-11-05 09:30:19,3.0.1,,,56.0,A Collection Of The State-of-the-art Metaheuristic Algorithms In Python (Metaheuristic/Optimizer/Nature-..,100.0,100.0,14.0,19,True,others,2.0,
29,pyribs,icaros-usc/pyribs,https://github.com/icaros-usc/pyribs,https://github.com/icaros-usc/pyribs,MIT,2020-09-10 07:47:17,2024-08-03 20:13:47,2024-07-19 02:40:46,460,14.0,32.0,13.0,380.0,18.0,89.0,207,2024-03-14 09:44:26,0.7.1,,,14.0,A bare-bones Python library for quality diversity optimization.,54.0,54.0,15.0,19,True,others,2.0,
30,pypop,Evolutionary-Intelligence/pypop,https://github.com/Evolutionary-Intelligence/pypop,https://github.com/Evolutionary-Intelligence/pypop,GPL-3.0,2021-01-26 14:55:43,2024-09-10 16:10:12,2024-09-10 16:10:12,7463,1525.0,27.0,5.0,426.0,1.0,8.0,191,2024-07-12 08:42:09,0.0.82,,,3.0,"PyPop7: A Pure-Python Library for POPulation-based Black-Box Optimization (BBO), especially their *Large-Scale*..",,,13.0,19,True,others,2.0,
31,ann-benchmarks,erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43,2024-09-02 06:22:28,2024-09-02 06:22:28,1567,8.0,695.0,117.0,338.0,62.0,145.0,4854,,,,,,Benchmarks of approximate nearest neighbor libraries in Python.,,,108.0,18,True,others,2.0,
32,triangula,rh12503/triangula,https://github.com/rh12503/triangula,https://github.com/rh12503/triangula,MIT,2021-04-02 12:38:24,2021-09-02 02:11:07,2021-09-02 02:11:07,100,,123.0,43.0,3.0,8.0,13.0,3846,2021-05-21 12:57:14,1.2.0,6374.0,155.0,5.0,Generate high-quality triangulated and polygonal art from images.,11.0,11.0,3.0,18,False,others,2.0,
33,lion-pytorch,lucidrains/lion-pytorch,https://github.com/lucidrains/lion-pytorch,https://github.com/lucidrains/lion-pytorch,MIT,2023-02-15 04:24:19,2024-06-15 16:29:11,2024-06-15 16:29:09,45,3.0,46.0,15.0,8.0,8.0,15.0,2001,2024-06-15 16:27:50,0.2.2,,,14.0,"Lion, new optimizer discovered by Google Brain using genetic algorithms that is purportedly better than Adam(w), in..",672.0,672.0,5.0,18,True,others,2.0,
34,geatpy,geatpy-dev/geatpy,https://github.com/geatpy-dev/geatpy,https://github.com/geatpy-dev/geatpy,LGPL-3.0,2018-08-23 13:26:31,2024-08-04 07:40:16,2024-07-13 06:09:46,398,1.0,721.0,46.0,8.0,151.0,213.0,1988,2022-01-09 08:11:32,2.7.0,4414.0,137.0,2.0,Evolutionary algorithm toolbox and framework with high performance for Python.,,,6.0,18,True,others,2.0,
35,sklearn-deap,rsteca/sklearn-deap,https://github.com/rsteca/sklearn-deap,https://github.com/rsteca/sklearn-deap,MIT,2015-10-28 22:52:34,2024-02-10 07:16:54,2021-07-30 15:06:27,104,,126.0,30.0,29.0,19.0,34.0,772,2021-07-30 15:07:28,0.3.0,,,14.0,Use evolutionary algorithms instead of gridsearch in scikit-learn.,46.0,46.0,23.0,18,False,others,2.0,
36,minerl,minerllabs/minerl,https://github.com/minerllabs/minerl,https://github.com/minerllabs/minerl,,2019-04-23 16:55:21,2024-08-20 22:57:00,2024-08-20 22:57:00,795,6.0,147.0,19.0,305.0,214.0,263.0,674,2023-08-23 21:30:19,1.0.2,,,7.0,MineRL Competition for Sample Efficient Reinforcement Learning - Python Package.,129.0,129.0,47.0,18,False,others,2.0,
37,Sklearn-genetic-opt,rodrigo-arenas/Sklearn-genetic-opt,https://github.com/rodrigo-arenas/Sklearn-genetic-opt,https://github.com/rodrigo-arenas/Sklearn-genetic-opt,MIT,2020-01-18 19:16:48,2024-09-12 15:25:38,2024-05-07 15:32:16,486,,74.0,5.0,89.0,3.0,60.0,301,2023-03-15 01:37:40,0.10.1,,,16.0,"ML hyperparameters tuning and features selection, using evolutionary algorithms.",49.0,49.0,14.0,18,True,others,2.0,
38,QDax,adaptive-intelligent-robotics/QDax,https://github.com/adaptive-intelligent-robotics/QDax,https://github.com/adaptive-intelligent-robotics/QDax,MIT,2022-02-11 15:48:57,2024-09-11 21:42:34,2024-09-09 15:23:59,161,3.0,39.0,6.0,123.0,24.0,46.0,260,2024-09-09 15:26:18,0.4.0,,,7.0,Accelerated Quality-Diversity.,11.0,11.0,13.0,18,True,others,2.0,
39,Lenia,Chakazul/Lenia,https://github.com/Chakazul/Lenia,https://github.com/Chakazul/Lenia,MIT,2018-02-25 05:51:46,2024-07-19 08:43:34,2022-03-15 17:08:40,174,,219.0,91.0,12.0,4.0,11.0,3525,2020-10-14 17:52:12,3.5,1614.0,34.0,2.0,Lenia - Mathematical Life Forms.,,,9.0,17,False,others,2.0,
40,eaopt,MaxHalford/eaopt,https://github.com/MaxHalford/eaopt,https://github.com/MaxHalford/eaopt,MIT,2016-01-31 00:04:52,2024-03-07 11:26:39,2024-03-07 11:26:38,348,,95.0,31.0,34.0,8.0,14.0,883,2017-11-28 19:51:38,0.4.1,,,9.0,"Evolutionary optimization library for Go (genetic algorithm, partical swarm optimization, differential evolution).",47.0,47.0,18.0,17,True,others,2.0,
41,opytimizer,gugarosa/opytimizer,https://github.com/gugarosa/opytimizer,https://github.com/gugarosa/opytimizer,Apache-2.0,2017-11-01 16:04:01,2024-08-18 17:08:08,2024-08-18 17:07:49,821,2.0,40.0,15.0,18.0,,22.0,599,2024-08-18 17:09:46,3.1.4,,,28.0,Opytimizer is a Python library consisting of meta-heuristic optimization algorithms.,18.0,18.0,4.0,17,True,others,2.0,
42,cmaes,CyberAgentAILab/cmaes,https://github.com/CyberAgentAILab/cmaes,https://github.com/CyberAgentAILab/cmaes,MIT,2020-01-30 20:13:13,2024-09-11 05:20:53,2024-09-11 05:20:52,480,15.0,59.0,13.0,152.0,5.0,31.0,358,2024-08-13 07:03:53,0.11.1,224.0,4.0,19.0,Python library for CMA Evolution Strategy.,,,8.0,17,True,others,2.0,
43,evogym,EvolutionGym/evogym,https://github.com/EvolutionGym/evogym,https://github.com/EvolutionGym/evogym,MIT,2022-01-26 17:56:55,2024-08-10 18:55:41,2024-07-09 01:30:25,59,15.0,31.0,8.0,18.0,,27.0,190,2024-08-10 18:55:41,2.0.0,,,2.0,"A large-scale benchmark for co-optimizing the design and control of soft robots, as seen in NeurIPS 2021.",3.0,3.0,3.0,17,True,others,2.0,4.0
44,NIR,neuromorphs/NIR,https://github.com/neuromorphs/NIR,https://github.com/neuromorphs/NIR,BSD-3-Clause,2023-07-01 20:27:43,2024-09-06 21:02:35,2024-09-06 21:02:34,227,9.0,8.0,12.0,78.0,8.0,27.0,67,2024-04-24 15:30:07,1.0.4,,,12.0,Neuromorphic Intermediate Representation reference implementation.,56.0,56.0,14.0,17,False,others,2.0,
45,propulate,Helmholtz-AI-Energy/propulate,https://github.com/Helmholtz-AI-Energy/propulate,https://github.com/Helmholtz-AI-Energy/propulate,BSD-3-Clause,2022-05-24 08:19:12,2024-09-12 12:46:18,2024-09-12 10:15:44,972,23.0,6.0,3.0,44.0,56.0,57.0,31,2024-06-08 06:31:25,1.2.2,,,4.0,Propulate is an asynchronous population-based optimization algorithm and software package for global optimization and..,3.0,3.0,24.0,17,False,others,2.0,
46,PlatEMO,BIMK/PlatEMO,https://github.com/BIMK/PlatEMO,https://github.com/BIMK/PlatEMO,,2018-10-12 14:25:39,2024-09-05 01:24:29,2024-09-05 01:23:40,343,7.0,456.0,46.0,56.0,70.0,37.0,1565,2024-09-03 01:34:13,4.8,1120.0,15.0,27.0,Evolutionary multi-objective optimization platform.,,,12.0,16,False,others,2.0,
47,evosax,RobertTLange/evosax,https://github.com/RobertTLange/evosax,https://github.com/RobertTLange/evosax,Apache-2.0,2020-12-30 14:14:37,2024-05-12 10:11:05,2024-05-12 10:11:05,278,,44.0,10.0,32.0,16.0,25.0,478,2024-03-06 17:13:36,.0.1.6,,,16.0,Evolution Strategies in JAX.,90.0,90.0,7.0,16,True,others,2.0,-2.0
48,pygmo2,esa/pygmo2,https://github.com/esa/pygmo2,https://github.com/esa/pygmo2,MPL-2.0,2020-01-07 09:22:45,2024-08-10 11:03:52,2024-08-10 11:03:52,607,5.0,57.0,10.0,63.0,38.0,57.0,434,2024-08-09 18:53:13,2.19.7,,,14.0,A Python platform to perform parallel computations of optimisation tasks (global and local) via the asynchronous..,,,10.0,16,True,others,2.0,
49,ngc-learn,NACLab/ngc-learn,https://github.com/NACLab/ngc-learn,https://github.com/NACLab/ngc-learn,BSD-3-Clause,2022-04-19 21:20:05,2024-08-15 22:23:05,2024-08-01 13:53:05,1110,190.0,19.0,6.0,55.0,3.0,7.0,106,2024-06-20 18:51:24,1.2.0-beta,,,7.0,NGC-Learn: Neurobiological Learning and Biomimetic Systems Simulation in Python.,2.0,2.0,10.0,16,True,others,2.0,
50,cambrian,cambrian-mllm/cambrian,https://github.com/cambrian-mllm/cambrian,https://github.com/cambrian-mllm/cambrian,Apache-2.0,2024-06-17 07:00:41,2024-09-10 22:18:09,2024-09-10 01:05:37,53,53.0,109.0,23.0,10.0,35.0,30.0,1684,,,,,,Cambrian-1 is a family of multimodal LLMs with a vision-centric design.,2.0,2.0,4.0,15,True,others,2.0,
51,dreamerv3,danijar/dreamerv3,https://github.com/danijar/dreamerv3,https://github.com/danijar/dreamerv3,MIT,2023-01-14 12:08:18,2024-07-29 22:55:04,2024-07-29 22:55:03,22,2.0,215.0,26.0,23.0,30.0,100.0,1266,,,,,,Mastering Diverse Domains through World Models.,5.0,5.0,10.0,15,True,others,2.0,
52,evo,evo-design/evo,https://github.com/evo-design/evo,https://github.com/evo-design/evo,Apache-2.0,2024-02-17 19:11:33,2024-09-05 14:26:09,2024-09-05 14:26:09,35,4.0,111.0,18.0,25.0,16.0,33.0,923,2024-04-30 22:35:35,0.1.2,,,2.0,Biological foundation modeling from molecular to genome scale.,2.0,2.0,8.0,15,True,others,2.0,
53,OpenELM,CarperAI/OpenELM,https://github.com/CarperAI/OpenELM,https://github.com/CarperAI/OpenELM,MIT,2022-09-03 12:53:16,2023-11-15 11:36:05,2023-10-21 16:25:10,124,,82.0,25.0,64.0,6.0,5.0,684,2023-03-08 01:35:37,0.2.1,,,6.0,Evolution Through Large Models.,13.0,13.0,9.0,15,True,others,2.0,
54,xland-minigrid,corl-team/xland-minigrid,https://github.com/corl-team/xland-minigrid,https://github.com/corl-team/xland-minigrid,Apache-2.0,2023-12-01 17:14:25,2024-08-16 10:31:52,2024-08-16 10:31:52,62,13.0,15.0,9.0,21.0,4.0,11.0,184,2024-08-01 11:28:20,0.9.0,,,5.0,JAX-accelerated Meta-Reinforcement Learning Environments Inspired by XLand and MiniGrid.,9.0,9.0,6.0,15,True,others,2.0,
55,sotopia,sotopia-lab/sotopia,https://github.com/sotopia-lab/sotopia,https://github.com/sotopia-lab/sotopia,MIT,2023-10-23 19:47:26,2024-09-12 01:05:46,2024-09-09 23:03:14,235,42.0,18.0,2.0,123.0,14.0,48.0,145,2024-08-26 20:37:53,0.1.0-rc.1,,,9.0,Sotopia: an Open-ended Social Learning Environment (ICLR 2024 spotlight).,5.0,5.0,11.0,15,True,others,2.0,
56,DEHB,automl/DEHB,https://github.com/automl/DEHB,https://github.com/automl/DEHB,Apache-2.0,2020-07-28 21:13:24,2024-08-12 11:54:18,2024-08-12 11:50:23,420,37.0,15.0,10.0,61.0,11.0,25.0,68,2024-07-11 13:01:56,0.1.2,32.0,2.0,5.0,,16.0,16.0,10.0,15,False,others,2.0,
57,optunahub,optuna/optunahub,https://github.com/optuna/optunahub,https://github.com/optuna/optunahub,MIT,2024-04-18 08:23:00,2024-08-30 07:17:46,2024-08-30 07:17:45,177,96.0,7.0,,65.0,,,32,2024-08-30 02:10:05,0.1.0,,,3.0,Python library to use packages in OptunaHub.,3.0,3.0,5.0,15,False,others,2.0,3.0
58,NiaAML,firefly-cpp/NiaAML,https://github.com/firefly-cpp/NiaAML,https://github.com/firefly-cpp/NiaAML,MIT,2020-08-21 17:03:06,2024-06-12 12:17:58,2024-06-12 11:21:02,344,,11.0,3.0,65.0,3.0,28.0,29,2024-06-12 12:17:58,2.1.0,,,32.0,Python automated machine learning framework.,27.0,27.0,10.0,15,False,others,2.0,
59,multi-agent-emergence-environments,openai/multi-agent-emergence-environments,https://github.com/openai/multi-agent-emergence-environments,https://github.com/openai/multi-agent-emergence-environments,MIT,2019-08-12 22:59:09,2024-07-30 20:54:31,2020-11-11 03:42:31,7,,300.0,188.0,21.0,23.0,8.0,1627,,,,,,Environment generation code for the paper Emergent Tool Use From Multi-Agent Autocurricula.,,,3.0,14,False,others,2.0,
60,brain-tokyo-workshop,google/brain-tokyo-workshop,https://github.com/google/brain-tokyo-workshop,https://github.com/google/brain-tokyo-workshop,Apache-2.0,2019-07-10 06:47:40,2024-07-09 17:49:39,2022-06-22 21:53:53,101,,317.0,38.0,94.0,14.0,13.0,1243,,,,,,,,,12.0,14,False,others,2.0,
61,evotorch,nnaisense/evotorch,https://github.com/nnaisense/evotorch,https://github.com/nnaisense/evotorch,Apache-2.0,2022-08-08 18:03:06,2024-08-30 16:25:38,2024-08-03 20:58:17,74,3.0,61.0,16.0,71.0,10.0,33.0,997,2023-11-02 11:09:00,0.5.1,,,8.0,"Advanced evolutionary computation library built directly on top of PyTorch, created at NNAISENSE.",,,6.0,14,True,others,2.0,
62,evojax,google/evojax,https://github.com/google/evojax,https://github.com/google/evojax,Apache-2.0,2021-12-07 00:30:07,2024-06-27 07:32:19,2024-06-27 07:26:43,298,4.0,78.0,23.0,47.0,11.0,17.0,827,,,,,19.0,,25.0,25.0,14.0,14,False,others,2.0,
63,mindcraft,kolbytn/mindcraft,https://github.com/kolbytn/mindcraft,https://github.com/kolbytn/mindcraft,MIT,2023-08-16 06:39:59,2024-08-26 17:04:48,2024-08-26 17:04:48,332,21.0,105.0,22.0,73.0,41.0,63.0,657,,,,,,,,,7.0,14,False,others,2.0,
64,swarmlib,HaaLeo/swarmlib,https://github.com/HaaLeo/swarmlib,https://github.com/HaaLeo/swarmlib,BSD-3-Clause,2018-11-04 16:47:18,2020-12-16 20:47:50,2020-12-16 20:46:22,246,,107.0,10.0,20.0,11.0,14.0,499,2020-12-16 20:49:37,0.14.1,205.0,2.0,23.0,This repository implements several swarm optimization algorithms and visualizes them. Implemented algorithms: Particle..,20.0,20.0,7.0,14,False,others,2.0,
65,EvoloPy,7ossam81/EvoloPy,https://github.com/7ossam81/EvoloPy,https://github.com/7ossam81/EvoloPy,Apache-2.0,2016-05-18 11:03:21,2024-05-26 18:38:49,2024-05-26 18:38:43,197,,215.0,24.0,32.0,23.0,22.0,442,,,,,,EvoloPy toolbox provides classical and recent nature-inspired metaheuristic for the global optimization.,,,11.0,14,True,others,2.0,
66,crafter,danijar/crafter,https://github.com/danijar/crafter,https://github.com/danijar/crafter,MIT,2021-03-10 00:37:31,2024-01-23 23:33:05,2023-12-13 20:12:42,161,,59.0,9.0,7.0,5.0,16.0,373,,,,,,Benchmarking the Spectrum of Agent Capabilities.,177.0,177.0,4.0,14,True,others,2.0,
