,name,github_id,homepage,dependent_project_count,github_dependent_project_count,contributor_count,description,projectrank,show,category,projectrank_placing,trending
68,mindcraft,kolbytn/mindcraft,{},,,71.0,,1,False,others,3.0,
69,LLaMEA,nikivanstein/LLaMEA,{},4.0,4.0,9.0,,1,False,others,3.0,
70,cambrian,cambrian-mllm/cambrian,{},3.0,3.0,4.0,,1,False,others,3.0,
71,ES,enajx/ES,{},,,,,0,False,others,,
72,HebbianMetaLearning,enajx/HebbianMetaLearning,{},,,,,0,False,others,,
73,innovation-engine,Evolving-AI-Lab/innovation-engine,{},,,,,0,False,others,,
74,evogym-design-tool,EvolutionGym/evogym-design-tool,{},,,3.0,,0,False,others,,
75,self-organising-systems,google-research/self-organising-systems,{},,,10.0,,0,False,others,,
76,PCGNN,Michael-Beukman/PCGNN,{},,,,,0,False,others,,
77,metaheuristics,thieu1995/metaheuristics,{},,,4.0,,0,False,others,,
78,swarmopt,SioKCronin/swarmopt,{},2.0,2.0,8.0,,0,False,others,,
79,population-based-training,angusfung/population-based-training,{},,,,,0,False,others,,
80,biosim4,davidrmiller/biosim4,{},,,15.0,,0,False,others,,
81,Python_Benchmark_Test_Optimization_Function_Single_Objective,AxelThevenot/Python_Benchmark_Test_Optimization_Function_Single_Objective,{},,,3.0,,0,False,others,,
82,evolvingrl,jcoreyes/evolvingrl,{},,,,,0,False,others,,
83,multi-agent-emergence-environments,openai/multi-agent-emergence-environments,{},,,3.0,,0,False,others,,
84,Evocraft-py,real-itu/Evocraft-py,{},,,4.0,,0,False,others,,
85,multiagent-competition,openai/multiagent-competition,{},,,3.0,,0,False,others,,
86,Genetic_Algorithm,AxelThevenot/Genetic_Algorithm,{},,,,,0,False,others,,
87,evojax,google/evojax,{},,,14.0,,0,False,others,,
88,estool,hardmaru/estool,{},,,9.0,,0,False,others,,
89,brain-tokyo-workshop,google/brain-tokyo-workshop,{},,,12.0,,0,False,others,,
90,morphogenesis-resources,jasonwebb/morphogenesis-resources,{},,,8.0,,0,False,others,,
91,qbso-fs,amineremache/qbso-fs,{},,,,,0,False,others,,
92,EPG,openai/EPG,{},,,3.0,,0,False,others,,
93,Bongard-LOGO,NVlabs/Bongard-LOGO,{},,,3.0,,0,False,others,,
94,HyperNCA,enajx/HyperNCA,{},,,,,0,False,others,,
95,controllable-ncas,shyamsn97/controllable-ncas,{},,,,,0,False,others,,
96,pba,arcelien/pba,{},,,3.0,,0,False,others,,
97,deep-neuroevolution,uber-research/deep-neuroevolution,{},,,15.0,,0,False,others,,
98,MetaMetaLearning,ThomasMiconi/MetaMetaLearning,{},,,,,0,False,others,,
99,CleverAlgorithms,clever-algorithms/CleverAlgorithms,{},,,9.0,,0,False,others,,
100,evotorch,nnaisense/evotorch,{},,,6.0,,0,False,others,,
101,alphastar,google-deepmind/alphastar,{},,,5.0,,0,False,others,,
102,FeatureSelectionGA,kaushalshetty/FeatureSelectionGA,{},,,6.0,,0,False,others,,
103,awesome-neural-geometry,neurreps/awesome-neural-geometry,{},,,16.0,,0,False,others,,
104,Evolutionary-Reinforcement-Learning,ShawK91/Evolutionary-Reinforcement-Learning,{},,,3.0,,0,False,others,,
105,sferes2,sferes2/sferes2,{},,,9.0,,0,False,others,,
106,esac,karush17/esac,{},,,,,0,False,others,,
107,emergent_communication_at_scale,google-deepmind/emergent_communication_at_scale,{},,,,,0,False,others,,
108,opytimizer,gugarosa/opytimizer,{},,,4.0,,0,False,others,,
109,EvoloPy,7ossam81/EvoloPy,{},,,12.0,,0,False,others,,
110,evoplex,evoplex/evoplex,{},,,7.0,,0,False,others,,
111,EC-Bestiary,fcampelo/EC-Bestiary,{},,,6.0,,0,False,others,,
112,Lenia,Chakazul/Lenia,{},,,9.0,,0,False,others,,
113,how-to-autorl,facebookresearch/how-to-autorl,{},,,4.0,,0,False,others,,
114,pygmo2,esa/pygmo2,{},,,10.0,,0,False,others,,
115,karoo_gp,kstaats/karoo_gp,{},,,5.0,,0,False,others,,
116,topy,williamhunter/topy,{},,,11.0,,0,False,others,,
117,eai-vc,facebookresearch/eai-vc,{},,,6.0,,0,False,others,,
118,geatpy,geatpy-dev/geatpy,{},,,9.0,,0,False,others,,
119,sparse-evolutionary-artificial-neural-networks,dcmocanu/sparse-evolutionary-artificial-neural-networks,{},,,,,0,False,others,,
120,Primordia,Chakazul/Primordia,{},,,,,0,False,others,,
121,biteopt,avaneev/biteopt,{},,,,,0,False,others,,
122,cmaes,CyberAgentAILab/cmaes,{},,,10.0,,0,False,others,,
123,GeneticAlgorithmForFeatureSelection,renatoosousa/GeneticAlgorithmForFeatureSelection,{},,,,,0,False,others,,
124,agenthive,facebookresearch/agenthive,{},,,7.0,,0,False,others,,
125,Solid,100/Solid,{},,,4.0,,0,False,others,,
126,Noise-Reuse-Evolution-Strategies,OscarcarLi/Noise-Reuse-Evolution-Strategies,{},,,,,0,False,others,,
127,PAPA,SamsungSAILMontreal/PAPA,{},,,,,0,False,others,,
128,DistributedEvolutionaryComputation,Evolutionary-Intelligence/DistributedEvolutionaryComputation,{},,,16.0,,0,False,others,,
129,automated-interpretability,openai/automated-interpretability,{},,,9.0,,0,False,others,,
130,pypop,Evolutionary-Intelligence/pypop,{},,,16.0,,0,False,others,,
131,es-lottery,RobertTLange/es-lottery,{},,,,,0,False,others,,
132,neuroevobench,neuroevobench/neuroevobench,{},2.0,2.0,,,0,False,others,,
133,curiousreplay,AutonomousAgentsLab/curiousreplay,{},,,,,0,False,others,,
134,choreographer,mazpie/choreographer,{},,,,,0,False,others,,
135,opof,opoframework/opof,{},,,,,0,False,others,,
136,awesome-genetic-programming,hengzhe-zhang/awesome-genetic-programming,{},,,,,0,False,others,,
137,dpop7,Evolutionary-Intelligence/dpop7,{},,,,,0,False,others,,
138,diversity_metrics,CarperAI/diversity_metrics,{},,,,,0,False,others,,
139,poppy,instadeepai/poppy,{},,,,,0,False,others,,
140,BPT-VLM,ECNU-ICALK/BPT-VLM,{},,,,,0,False,others,,
141,Hands-On-Genetic-Algorithms-with-Python,PacktPublishing/Hands-On-Genetic-Algorithms-with-Python,{},,,6.0,,0,False,others,,
142,ReConcile,dinobby/ReConcile,{},,,,,0,False,others,,
143,symbiants,MeoMix/symbiants,{},,,3.0,,0,False,others,,
144,humpday,microprediction/humpday,{},,,5.0,,0,False,others,,
145,Evolved-Model-Agnostic-Loss,Decadz/Evolved-Model-Agnostic-Loss,{},,,,,0,False,others,,
146,DEHB,automl/DEHB,{},,,10.0,,0,False,others,,
147,hebo_on_bbob,dimitri-rusin/hebo_on_bbob,{},,,19.0,,0,False,others,,
148,warehouse_env_gen_nca_public,lunjohnzhang/warehouse_env_gen_nca_public,{},,,,,0,False,others,,
149,minimax,facebookresearch/minimax,{},,,3.0,,0,False,others,,
150,GEFEST,aimclub/GEFEST,{},2.0,2.0,11.0,,0,False,others,,
151,timeflux,timeflux/timeflux,{},,,7.0,,0,False,others,,
152,Data_Driven_Symbolic_Regression,sayin/Data_Driven_Symbolic_Regression,{},,,,,0,False,others,,
153,EvoPrompt,beeevita/EvoPrompt,{},,,,,0,False,others,,
154,loss-landscape-anim,logancyang/loss-landscape-anim,{},3.0,3.0,2.0,,0,False,others,,
155,fractal,Sohl-Dickstein/fractal,{},,,,,0,False,others,,
156,Machine-Mindset,PKU-YuanGroup/Machine-Mindset,{},,,4.0,,0,False,others,,
157,Biological-Evolution,Evolutionary-Intelligence/Biological-Evolution,{},,,,,0,False,others,,
158,Hierarchy,Evolutionary-Intelligence/Hierarchy,{},,,,,0,False,others,,
159,xland-minigrid,corl-team/xland-minigrid,{},,,9.0,,0,False,others,,
160,ELM,OpenDriveLab/ELM,{},,,6.0,,0,False,others,,
161,procgen_autorl,jparkerholder/procgen_autorl,{},,,,,0,False,others,,
162,NiaAML-GUI,firefly-cpp/NiaAML-GUI,{},,,7.0,,0,False,others,,
163,NiaAML,firefly-cpp/NiaAML,{},,,11.0,,0,False,others,,
164,ngc-museum,NACLab/ngc-museum,{},,,7.0,,0,False,others,,
165,EC-A-Modern-Perspective,Evolutionary-Intelligence/EC-A-Modern-Perspective,{},,,7.0,,0,False,others,,
166,ChatDev,OpenBMB/ChatDev,{},,,19.0,,0,False,others,,-24.0
167,poprank,poprl/poprank,{},,,4.0,,0,False,others,,
168,LLM4Opt,FeiLiu36/LLM4Opt,{},,,6.0,,0,False,others,,
169,EoH,FeiLiu36/EoH,{},,,4.0,,0,False,others,,
170,PHUDGE,deshwalmahesh/PHUDGE,{},,,,,0,False,others,,
171,ai-car-preference-learning,llama887/ai-car-preference-learning,{},,,4.0,,0,False,others,,
172,ai-car-simulation,NeuralNine/ai-car-simulation,{},,,,,0,False,others,,
173,MAZero,liuqh16/MAZero,{},,,,,0,False,others,,
174,ControllingBehavioralDiversity,proroklab/ControllingBehavioralDiversity,{},,,,,0,False,others,,
175,lwm,princeton-nlp/lwm,{},,,7.0,,0,False,others,,
176,KAN-EA,hhyqhh/KAN-EA,{},,,,,0,False,others,,
177,optim,kthohr/optim,{},,,3.0,,0,False,others,,
178,QDAC,adaptive-intelligent-robotics/QDAC,{},,,,,0,False,others,,
179,AgentGym,WooooDyy/AgentGym,{},,,13.0,,0,False,others,,
180,Leniabreeder,maxencefaldor/Leniabreeder,{},,,,,0,False,others,,
181,Pruner-Zero,pprp/Pruner-Zero,{},,,,,0,False,others,,
182,Evaluate-n-Model-Social-Intelligence,bigai-ai/Evaluate-n-Model-Social-Intelligence,{},,,,,0,False,others,,
183,OmniTokenizer,FoundationVision/OmniTokenizer,{},,,3.0,,0,False,others,,
184,Awesome-Evolutionary-Reinforcement-Learning,yeshenpy/Awesome-Evolutionary-Reinforcement-Learning,{},,,3.0,,0,False,others,,
185,evoagent,siyuyuan/evoagent,{},,,,,0,False,others,,
186,model-evolution,duguodong7/model-evolution,{},,,,,0,False,others,,
187,SPPO,uclaml/SPPO,{},,,4.0,,0,False,others,,
188,DenseFusion,baaivision/DenseFusion,{},,,3.0,,0,False,others,,
189,PlatEMO,BIMK/PlatEMO,{},,,14.0,,0,False,others,,
190,EvoSOPS,DaymudeLab/EvoSOPS,{},,,,,0,False,others,,
191,alife_social,ALife-Newsletter/alife_social,{},,,9.0,,0,False,others,,
192,Odyssey,zju-vipa/Odyssey,{},,,5.0,,0,False,others,,
193,Pearl,09tangriro/Pearl,{},2.0,2.0,2.0,,-1,False,others,3.0,
194,algforopt-notebooks,algorithmsbooks/algforopt-notebooks,{},,,2.0,,-1,False,others,3.0,
195,evolution-strategies-starter,openai/evolution-strategies-starter,{},,,2.0,,-1,False,others,3.0,
196,cmoea,Evolving-AI-Lab/cmoea,{},,,2.0,,-1,False,others,3.0,
197,differentiable-plasticity,uber-research/differentiable-plasticity,{},,,2.0,,-1,False,others,3.0,
198,project-origin,kourgeorge/project-origin,{},,,2.0,,-1,False,others,3.0,
199,CMA-ES_with_Margin,EvoConJP/CMA-ES_with_Margin,{},,,2.0,,-1,False,others,3.0,
200,cellularAutomata,bollu/cellularAutomata,{},,,2.0,,-1,False,others,3.0,
201,spotlight_hardware_designs,facebookresearch/spotlight_hardware_designs,{},,,2.0,,-1,False,others,3.0,
202,self-parking-car-evolution,trekhleb/self-parking-car-evolution,{},,,2.0,,-1,False,others,3.0,
203,NEAT_RL,rwickman/NEAT_RL,{},,,2.0,,-1,False,others,3.0,
204,james,hdbeukel/james,{},,,2.0,,-1,False,others,3.0,
205,Bio-ANN,NeurAI-Lab/Bio-ANN,{},,,2.0,,-1,False,others,3.0,
206,LearningToLearnCogTasks,ThomasMiconi/LearningToLearnCogTasks,{},,,2.0,,-1,False,others,3.0,
207,lux-open,hanmochen/lux-open,{},,,2.0,,-1,False,others,3.0,
208,mastering-urlb,mazpie/mastering-urlb,{},,,2.0,,-1,False,others,3.0,
209,aevo,atomisticnet/aevo,{},,,2.0,,-1,False,others,3.0,
210,DeepACO,henry-yeh/DeepACO,{},,,2.0,,-1,False,others,3.0,
211,brainmagick,facebookresearch/brainmagick,{},,,2.0,,-1,False,others,3.0,
212,alife2023,evoising/alife2023,{},,,2.0,,-1,False,others,3.0,
213,groove,EmptyJackson/groove,{},,,2.0,,-1,False,others,3.0,
214,MacGyver,allenai/MacGyver,{},,,2.0,,-1,False,others,3.0,
215,bgpbt,xingchenwan/bgpbt,{},,,2.0,,-1,False,others,3.0,
216,generative-ui-playbook,gordonbrander/generative-ui-playbook,{},,,2.0,,-1,False,others,3.0,
217,synthpop,joelnmdyer/synthpop,{},,,2.0,,-1,False,others,3.0,
218,promptsearch,lukas/promptsearch,{},,,2.0,,-1,False,others,3.0,
219,moe-routing,ilyalasy/moe-routing,{},,,2.0,,-1,False,others,3.0,
220,HarmonyDream,thuml/HarmonyDream,{},,,2.0,,-1,False,others,3.0,
221,intelligent-go-explore,conglu1997/intelligent-go-explore,{},,,2.0,,-1,False,others,3.0,
222,cultural-accumulation,FLAIROx/cultural-accumulation,{},,,2.0,,-1,False,others,3.0,
223,ENVISIONS,xufangzhi/ENVISIONS,{},,,2.0,,-1,False,others,3.0,
